Rank,Team,Best,Latest,Time,IsStudent
372,963: infra_test,4309,4310,17:57:37,
373,221: sniff the nekko,3627,4268,17:56:30,
374,718: 賞金は借金の返済に充てます,4337,4240,17:52:54,
375,529: first commit,4739,4232,17:47:07,
376,612: がんばろ〜,3825,4219,17:49:45,
377,238: エビを食べる会,4779,4217,17:59:27,
378,812: UOOO,4634,4212,16:46:48,学生
379,158: 天空の玉子,3872,4197,17:56:52,
380,393: citruz,4231,4193,17:53:44,学生
381,760: よしなに,4125,4186,17:58:13,学生
382,485: チーム元IBM,4361,4183,17:46:04,
383,263: 水分補給,6682,4174,17:58:25,学生
384,341: えい,4211,4172,17:57:30,学生
385,425: Bugっと！プリキュア,4042,4160,17:55:13,
386,28: cryptid,3957,4151,17:58:49,
387,163: wgureimons,4483,4126,17:00:47,
388,564: DSE,4261,4126,17:59:01,
389,13: かえるやさん,5248,4115,17:58:16,
390,695: JTC,3484,4114,17:52:49,学生
391,283: WONDA,4311,4084,17:58:51,
392,316: 激凸上等,4302,4061,17:55:30,
393,343: Podestrians,4148,4053,17:59:18,学生
394,994: moudameda,3463,4043,17:51:15,
395,672: yama,4192,4035,17:46:24,
396,490: Buzz Zone,3133,4024,17:49:52,
397,516: Akabane,3563,4015,17:57:58,
398,704: orange,2992,4009,17:58:13,
399,109: nakatanakatana,4055,4007,17:49:54,
400,940: 失敗から学ぶISUCONの正しい歩き方,5759,3976,17:59:55,
401,149: ピーター・パーカー,3307,3939,17:58:58,
402,440: とうふ探検隊,3349,3907,17:58:36,学生
403,594: asaii_tone,3901,3899,15:52:47,
404,638: Webii,4316,3897,17:30:44,
405,156: モフモフホース,1125,3892,17:59:02,
406,54: ラムや羊や,3959,3854,17:41:21,
407,189: TSF,3952,3845,17:58:39,学生
408,161: JetSauna,4118,3799,17:49:09,
409,439: メタスラ野郎,4700,3764,17:58:11,
410,325: FandF,3596,3758,17:58:05,
411,971: ぽよ,3754,3742,17:32:07,
412,456: DYOUS,4250,3742,17:43:46,
413,559: rarara,3551,3683,17:57:42,
414,556: 青空太郎,4280,3675,17:57:19,
415,566: MFJ,3327,3664,17:56:12,
416,318: isutomato,2470,3664,17:59:06,学生
417,430: 情報を食っているんだ!,9930,3658,17:37:21,
418,364: P-Space,3371,3642,17:57:14,
419,249: 急速実感,3545,3634,17:59:12,
420,515: RiST2,3931,3613,17:58:24,学生
421,43: いすこんがさき、しゅうろうはあと,2700,3583,17:44:48,
422,140: チームひろし,3639,3568,17:48:58,
423,128: Maxipus,4027,3546,17:58:02,学生
424,477: たまごやま,3792,3517,17:59:54,
425,395: 疲労コンパイラ,3439,3499,17:55:59,
426,601: ディスカバリー長崎,4812,3487,17:58:46,
427,93: World Dominators,5505,3474,17:59:59,学生
428,461: マナップ,1883,3470,17:50:35,
429,758: tanren,3490,3450,17:57:16,
430,340: Infant Engineer,2062,3409,17:57:57,
431,57: Fratty,3489,3387,17:58:57,
432,179: たなからバターもち,3034,3380,17:59:01,
433,756: マッスル,3163,3365,17:55:52,
434,589: rk6i79a3h4bw,2874,3345,17:57:59,学生
435,617: デッドリフト大好き,3309,3344,17:57:51,
436,136: 夏のせいろ,3222,3313,17:50:55,学生
437,522: ikbk.net,2987,3306,17:54:47,
438,417: kikuko72チーム,1172,3304,17:42:20,
439,558: mkmkmk,7090,3302,17:56:51,
440,544: nyanyanyanya,3365,3287,17:23:12,
441,686: めがね,3406,3257,17:58:28,
442,661: sohmens,3399,3231,17:54:38,
443,569: Team-hana,3060,3216,17:44:31,
444,465: ちゅ、揮発性。,3151,3209,17:54:42,
445,766: チーム名,3468,3201,17:54:55,
446,356: cc3,3612,3193,17:59:03,
447,878: オールドハウス,3039,3161,17:59:04,
448,389: すず音,3179,3148,17:36:35,学生
449,785: メンヘラコールセンター,3647,3127,17:56:28,
450,184: QPM,3350,3082,17:57:09,
451,629: catgrass,960,3071,17:25:53,
452,850: static_sushi,3062,3062,16:34:37,
453,731: FMさばチーム,3903,3054,17:55:11,
454,50: okwrtdsh,1744,3051,17:52:21,
455,860: ボッチコン,2775,3027,17:15:31,
456,577: かりものの知恵,3270,3020,15:20:25,
457,147: ドラゴンファイターズ,1936,3009,17:59:14,
458,653: Donchan Dash!!,3634,2976,17:42:09,
459,901: カオスケーキファクトリー,2901,2975,17:58:54,
460,288: しばいぬ,3400,2968,17:51:57,
461,633: megmegiizo,6612,2965,17:49:01,
462,592: yakisoba,3107,2954,17:55:15,
463,881: サイドチェスト,2773,2947,17:44:40,
464,597: おpythonエンジニア,3051,2943,17:59:57,
465,621: minmin,2324,2937,17:51:23,
466,273: キャベツ株式会社,4969,2914,17:59:39,
467,839: がんばります*************,3207,2902,17:59:56,
468,647: R02,2201,2884,17:54:52,
469,268: 勇者部豊浜支部,2880,2869,17:52:51,
470,216: SakuSakuTempura,2629,2853,17:54:22,
471,143: ギャルに優しいオタク,3085,2851,17:56:57,
472,682: Hs,3047,2847,17:54:56,
473,256: bsl_krmt_mo,3316,2813,17:55:07,
474,572: yoi-shot,1169,2803,17:55:03,
475,388: Matilda_babies,3308,2781,17:57:10,
476,824: perftester,3026,2780,17:58:29,
477,105: FILL_ME_LATER,2964,2777,17:47:57,
478,580: ラーメン食べたい,2476,2728,17:59:06,
479,478: Hayamix,9569,2713,17:59:39,
480,207: Satsuma Tokyo,8533,2705,17:56:06,
481,771: 食道楽,2779,2704,17:54:56,
482,654: haigyo,2600,2694,17:58:57,
483,481: さらば、BTCの光,3057,2688,17:56:38,
484,575: 常にメモリリーク,3203,2676,15:54:36,
485,720: おこクロワッサン,2923,2652,17:54:15,
486,262: RAT23,932,2631,17:50:32,学生
487,931: 焦がしニンニク輸送船,3103,2629,17:59:03,
488,286: ᓚᘏᗢ ᓚᘏᗢ,3335,2625,17:59:01,
489,460: チームひなあや,2585,2607,17:49:27,
490,831: ISUCON楽しい,2826,2606,17:07:08,
491,150: odango,2500,2598,17:56:56,
492,412: zuto9,3197,2571,17:59:24,
493,87: hakodate-a05,1644,2566,17:54:37,学生
494,662: ぽいふる,1267,2559,17:38:31,
495,127: 新宿動物園,2845,2542,17:59:43,
496,39: DOUBLE RAINBOW DREAMS,2777,2527,17:59:45,
497,357: さんぽ駆動開発,2729,2470,17:59:18,学生
498,553: SSR,1096,2452,17:59:37,
499,303: 未来太郎,1838,2447,17:59:09,
500,944: オレンジベニト,2936,2400,17:37:24,
501,639: tomoyukiy,4571,2358,17:39:07,
502,337: 砂林,1762,2333,17:57:47,
503,709: 301F,2789,2331,17:58:42,学生
504,508: μラボ,1258,2274,17:58:05,学生
505,570: intellilink-ags,1447,2273,17:51:10,
506,293: もつ煮,3066,2252,17:54:08,学生
507,403: バリバリ全開！CPU暴走族,983,2249,17:59:30,
508,138: 神速ピヨダチョウ突撃隊,2751,2241,17:51:16,
509,865: ミステリアスアイランダーエックス,2626,2232,17:53:20,
510,313: Hedgehog,3695,2177,17:53:52,
511,726: :sushi::beer::three:,1194,2168,17:53:47,
512,789: いあいあ,2284,2158,17:49:52,
513,170: うぇいぶわんだーず,2190,2157,16:47:15,
514,451: Rust完全に理解した,2329,2128,17:33:39,
515,312: 社会を担う責任感,2263,2126,17:56:52,
516,623: taketen,2429,2093,17:58:22,
517,420: てくせん,2658,2017,16:15:51,
518,218: YoRaKu,2677,2000,17:59:38,
519,281: 魚雷幼稚園,2287,1985,16:49:49,
520,587: チームスイートポテト,1823,1950,17:53:58,
521,853: UniProject,3544,1930,17:28:23,
522,443: 留年間近,1255,1930,17:59:03,学生
523,736: ODA★CHANNEL,935,1901,17:57:33,
524,713: 大三元,1141,1886,17:57:56,
525,917: む,1326,1831,17:38:11,
526,681: まるまらーめん,1887,1827,17:52:55,
527,551: つなかん,2010,1803,17:53:37,
528,882: 新宮島,1214,1794,17:54:36,
529,947: fj-donuts,3878,1781,17:59:28,
530,862: moshroom,1517,1770,17:58:31,
531,830: HumanS Lab,3014,1749,17:59:03,学生
532,770: チームポテサラ,1545,1741,17:42:21,
533,197: es,2384,1646,17:49:57,
534,655: isuchari,1701,1592,17:56:03,
535,620: nouse,1365,1565,17:58:15,
536,694: 仮,1749,1550,17:21:36,
537,714: neko,1505,1542,17:47:10,
538,270: RRY,1300,1494,17:52:18,学生
539,182: Triple Triple,1161,1486,17:59:50,学生
540,925: aburasoba,2412,1467,13:38:45,
541,923: teamRAT,1905,1436,17:55:53,学生
542,410: beliefarrow,2650,1428,17:06:56,
543,550: おれここ,3817,1423,17:57:26,
544,99: 楠犠,1917,1397,17:46:56,
545,739: KogCoder,1268,1395,17:58:55,学生
546,91: ハンブルカマボコ,4687,1363,17:54:41,
547,921: 品川週間,1529,1355,17:59:59,
548,284: ririry,1547,1345,17:53:20,
549,562: naomasa,1687,1332,17:58:00,
550,96: Ash function,1413,1327,17:49:45,
551,728: MBW,1208,1317,17:43:20,
